unit_id,scene,issues,generated_es419
"unit:3876","113","EXACT_TEXT_REPEAT","Como era el día de preparación, y para que los cuerpos no permanecieran en la cruz durante el sábado —porque aquel sábado era un día solemne—, los judíos pidieron a Pilato que les quebraran las piernas y retiraran los cuerpos."
"unit:3877","113","EXACT_TEXT_REPEAT","Como era el día de preparación, y para que los cuerpos no permanecieran en la cruz durante el sábado —porque aquel sábado era un día solemne—, los judíos pidieron a Pilato que les quebraran las piernas y retiraran los cuerpos."
"unit:3878","113","EXACT_TEXT_REPEAT","Como era el día de preparación, y para que los cuerpos no permanecieran en la cruz durante el sábado —porque aquel sábado era un día solemne—, los judíos pidieron a Pilato que les quebraran las piernas y retiraran los cuerpos."
"unit:3879","113","EXACT_TEXT_REPEAT","Como era el día de preparación, y para que los cuerpos no permanecieran en la cruz durante el sábado —porque aquel sábado era un día solemne—, los judíos pidieron a Pilato que les quebraran las piernas y retiraran los cuerpos."
"unit:3880","113","","Entonces los soldados fueron y quebraron las piernas del primero y también las del otro que había sido crucificado con Jesús."
"unit:3881","113","","Pero cuando llegaron a Jesús y vieron que ya estaba muerto, no le quebraron las piernas."
"unit:3882","113","","En cambio, uno de los soldados le atravesó el costado con una lanza, y enseguida salió sangre y agua."
"unit:3883","113","","El que lo vio ha dado testimonio, y su testimonio es verdadero. Él sabe que dice la verdad, para que ustedes también crean."
"unit:3884","113","","Estas cosas sucedieron para que se cumpliera la Escritura: «No le quebrarán ningún hueso»."
"unit:3885","113","","Y otra Escritura dice: «Mirarán al que traspasaron»."
"unit:3886","113","EXACT_TEXT_REPEAT","Al atardecer llegó un hombre rico de Arimatea llamado José, que también se había hecho discípulo de Jesús."
"unit:3887","113","","Como ya había llegado la tarde, y era el día de preparación, es decir, la víspera del sábado,"
"unit:3888","113","EXACT_TEXT_REPEAT","al atardecer llegó un hombre rico de Arimatea llamado José, que también se había hecho discípulo de Jesús."
"unit:3889","113","EXACT_TEXT_REPEAT","Al atardecer llegó un hombre rico de Arimatea llamado José, que también se había hecho discípulo de Jesús."
"unit:3890","113","EXACT_TEXT_REPEAT","Al atardecer llegó un hombre rico de Arimatea llamado José, que también se había hecho discípulo de Jesús."
"unit:3891","113","EXACT_TEXT_REPEAT","José de Arimatea, miembro honorable del Consejo, que también esperaba el reino de Dios, se atrevió a entrar ante Pilato y pedir el cuerpo de Jesús."
"unit:3892","113","","Había un hombre llamado José, miembro del Consejo, hombre bueno y justo,"
"unit:3893","113","","que no había estado de acuerdo con la decisión ni con la acción de ellos. Era de Arimatea, ciudad de los judíos, y esperaba el reino de Dios."
"unit:3894","113","EXACT_TEXT_REPEAT","Al atardecer llegó un hombre rico de Arimatea llamado José, que también se había hecho discípulo de Jesús."
"unit:3895","113","","Después de esto, José de Arimatea, que era discípulo de Jesús pero en secreto por miedo a los judíos, pidió a Pilato permiso para llevarse el cuerpo de Jesús. Pilato se lo concedió. Entonces fue y retiró su cuerpo."
"unit:3896","113","EXACT_TEXT_REPEAT","José de Arimatea, miembro honorable del Consejo, que también esperaba el reino de Dios, se atrevió a entrar ante Pilato y pedir el cuerpo de Jesús."
"unit:3897","113","EXACT_TEXT_REPEAT","José de Arimatea, miembro honorable del Consejo, que también esperaba el reino de Dios, se atrevió a entrar ante Pilato y pedir el cuerpo de Jesús."
"unit:3898","113","EXACT_TEXT_REPEAT","José se presentó ante Pilato y pidió el cuerpo de Jesús. Entonces Pilato ordenó que se lo entregaran."
"unit:3899","113","EXACT_TEXT_REPEAT","Pilato se sorprendió de que ya hubiera muerto. Llamó al centurión y le preguntó si llevaba tiempo muerto."
"unit:3900","113","EXACT_TEXT_REPEAT","Pilato se sorprendió de que ya hubiera muerto. Llamó al centurión y le preguntó si llevaba tiempo muerto."
"unit:3901","113","","Después de confirmarlo por medio del centurión, entregó el cuerpo a José."
"unit:3902","113","EXACT_TEXT_REPEAT","José se presentó ante Pilato y pidió el cuerpo de Jesús. Entonces Pilato ordenó que se lo entregaran."
"unit:3903","113","","También llegó Nicodemo, el que al principio había ido a ver a Jesús de noche, llevando una mezcla de mirra y áloe, de unas cien libras."
"unit:3904","113","EXACT_TEXT_REPEAT","José compró una sábana de lino, bajó el cuerpo, lo envolvió en la sábana y lo puso en un sepulcro excavado en la roca. Luego hizo rodar una piedra contra la entrada del sepulcro."
"unit:3905","113","EXACT_TEXT_REPEAT","José compró una sábana de lino, bajó el cuerpo, lo envolvió en la sábana y lo puso en un sepulcro excavado en la roca. Luego hizo rodar una piedra contra la entrada del sepulcro."
"unit:3906","113","EXACT_TEXT_REPEAT","Tomaron entonces el cuerpo de Jesús y lo envolvieron en lienzos con las especias aromáticas, según la costumbre judía de sepultar."
"unit:3907","113","","José tomó el cuerpo y lo envolvió en una sábana limpia."
"unit:3908","113","EXACT_TEXT_REPEAT","Tomaron entonces el cuerpo de Jesús y lo envolvieron en lienzos con las especias aromáticas, según la costumbre judía de sepultar."
"unit:3909","113","","En el lugar donde Jesús había sido crucificado había un huerto, y en el huerto un sepulcro nuevo en el que todavía no habían puesto a nadie."
"unit:3910","113","EXACT_TEXT_REPEAT","José puso el cuerpo en su sepulcro nuevo, que había excavado en la roca; hizo rodar una gran piedra contra la entrada del sepulcro y se fue."
"unit:3911","113","EXACT_TEXT_REPEAT","José puso el cuerpo en su sepulcro nuevo, que había excavado en la roca; hizo rodar una gran piedra contra la entrada del sepulcro y se fue."
"unit:3912","113","","Bajó el cuerpo, lo envolvió en una sábana y lo puso en un sepulcro excavado en la roca, donde todavía nadie había sido colocado."
"unit:3913","113","","Allí, por causa del día de preparación de los judíos y porque el sepulcro estaba cerca, pusieron a Jesús."
"unit:3914","113","EXACT_TEXT_REPEAT","José puso el cuerpo en su sepulcro nuevo, que había excavado en la roca; hizo rodar una gran piedra contra la entrada del sepulcro y se fue."
"unit:3915","113","EXACT_TEXT_REPEAT","José puso el cuerpo en su sepulcro nuevo, que había excavado en la roca; hizo rodar una gran piedra contra la entrada del sepulcro y se fue."
"unit:3916","113","EXACT_TEXT_REPEAT","María Magdalena y la otra María estaban allí, sentadas frente al sepulcro."
"unit:3917","113","EXACT_TEXT_REPEAT","María Magdalena y María, la madre de José, observaban dónde lo habían puesto."
"unit:3918","113","","Las mujeres que habían venido con él desde Galilea siguieron a José y vieron el sepulcro y cómo había sido colocado el cuerpo."
"unit:3919","113","EXACT_TEXT_REPEAT","María Magdalena y la otra María estaban allí, sentadas frente al sepulcro."
"unit:3920","113","EXACT_TEXT_REPEAT","María Magdalena y María, la madre de José, observaban dónde lo habían puesto."
"unit:3921","113","EXACT_TEXT_REPEAT","Después regresaron y prepararon especias aromáticas y perfumes. Y durante el sábado descansaron conforme al mandamiento."
"unit:3922","113","EXACT_TEXT_REPEAT","Después regresaron y prepararon especias aromáticas y perfumes. Y durante el sábado descansaron conforme al mandamiento."
"unit:3923","113","","Al día siguiente, después del día de preparación, los principales sacerdotes y los fariseos se reunieron ante Pilato"
"unit:3924","113","","y dijeron: «Señor, recordamos que aquel impostor dijo cuando aún vivía: “Después de tres días resucitaré”."
"unit:3925","113","","Ordena, pues, que el sepulcro quede asegurado hasta el tercer día, no sea que sus discípulos vengan, roben el cuerpo y digan al pueblo: “Ha resucitado de entre los muertos”. Entonces el último engaño sería peor que el primero»."
"unit:3926","113","","Pilato les dijo: «Tienen una guardia. Vayan y asegúrenlo como saben hacerlo»."
"unit:3927","113","","Ellos fueron y aseguraron el sepulcro, sellando la piedra y dejando allí la guardia."
"unit:3928","114","EXACT_TEXT_REPEAT","Después del sábado, al amanecer del primer día de la semana, María Magdalena y la otra María fueron a ver el sepulcro."
"unit:3929","114","EXACT_TEXT_REPEAT","Después del sábado, al amanecer del primer día de la semana, María Magdalena y la otra María fueron a ver el sepulcro."
"unit:3930","114","EXACT_TEXT_REPEAT","Eran María Magdalena, Juana, María la madre de Santiago y las demás mujeres que estaban con ellas; ellas contaban estas cosas a los apóstoles."
"unit:3931","114","","Cuando pasó el sábado, María Magdalena, María la madre de Santiago y Salomé compraron especias aromáticas para ir a ungirlo."
"unit:3932","114","EXACT_TEXT_REPEAT","Muy temprano, el primer día de la semana, fueron al sepulcro cuando salía el sol."
"unit:3933","114","EXACT_TEXT_REPEAT","Después del sábado, cuando comenzaba a amanecer el primer día de la semana, María Magdalena y la otra María fueron a ver el sepulcro."
"unit:3934","114","","El primer día de la semana, María Magdalena fue al sepulcro muy temprano, cuando todavía estaba oscuro, y vio que la piedra había sido retirada del sepulcro."
"unit:3935","114","EXACT_TEXT_REPEAT","Después del sábado, cuando comenzaba a amanecer el primer día de la semana, María Magdalena y la otra María fueron a ver el sepulcro."
"unit:3936","114","","El primer día de la semana, muy temprano por la mañana, fueron al sepulcro llevando las especias aromáticas que habían preparado."
"unit:3937","114","EXACT_TEXT_REPEAT","Muy temprano, el primer día de la semana, fueron al sepulcro cuando salía el sol."
"unit:3938","114","","De pronto hubo un gran terremoto, porque un ángel del Señor descendió del cielo, se acercó, hizo rodar la piedra y se sentó sobre ella."
"unit:3939","114","","Su aspecto era como un relámpago y su ropa blanca como la nieve."
"unit:3940","114","","Por miedo a él, los guardias temblaron y quedaron como muertos."
"unit:3941","114","","Ellas se preguntaban unas a otras: «¿Quién nos hará rodar la piedra de la entrada del sepulcro?»"
"unit:3942","114","","Encontraron la piedra removida del sepulcro."
"unit:3943","114","","Al levantar la mirada, vieron que la piedra había sido removida, aunque era muy grande."
"unit:3944","114","","Entonces María corrió hasta Simón Pedro y el otro discípulo, a quien Jesús amaba, y les dijo: «Se han llevado al Señor del sepulcro y no sabemos dónde lo han puesto»."
"unit:3945","114","EXACT_TEXT_REPEAT","Al entrar en el sepulcro, vieron a un joven sentado a la derecha, vestido con una túnica blanca, y quedaron asombradas."
"unit:3946","114","","Mientras estaban desconcertadas por esto, aparecieron junto a ellas dos hombres con vestiduras resplandecientes."
"unit:3947","114","EXACT_TEXT_REPEAT","Al entrar en el sepulcro, vieron a un joven sentado a la derecha, vestido con una túnica blanca, y quedaron asombradas."
