scene_number,chapter_number,scene_order_in_chapter,title
1,I,1,"Antes del principio, Él ya estaba"
2,I,2,Una historia preparada por generaciones
3,I,3,Cuando Dios rompe el silencio
4,I,4,Has hallado gracia
5,I,5,La aurora que nos visitó desde lo alto
6,I,6,Dios con nosotros
7,I,7,La salvación en brazos de un anciano
8,I,8,"Una estrella, un Rey y otro camino"
9,I,9,En los asuntos de mi Padre
10,I,10,Una voz prepara el camino
11,I,11,Este es mi Hijo amado
12,I,12,El Hijo amado en el desierto
13,I,13,Vengan y vean
14,I,14,El mejor vino quedó para el final
15,I,15,La casa de mi Padre
16,I,16,Una conversación en la noche
17,I,17,Es necesario que Él crezca
18,I,18,Cuando una voz se apaga y otra comienza
19,I,19,El Salvador junto al pozo
20,I,20,"Ve, tu hijo vive"
21,II,1,Gracia para los que estaban cerca
22,II,2,De las redes a seguir a Jesús
23,II,3,Una palabra con autoridad
24,II,4,Jesús entra en la casa
25,II,5,Todos te buscan
26,II,6,Quiero; sé limpio
27,II,7,Cuando abrieron el techo
28,II,8,Una mesa para los que nadie invitaría
29,II,9,Cuando el Novio está presente
30,II,10,¿Querés ser sano?
31,II,11,El Señor también del día de reposo
32,II,12,Extendé tu mano
33,II,13,Todos querían tocarlo
34,II,14,Doce llamados por nombre
35,II,15,El Reino al alcance de los pequeños
36,II,16,Una fe que maravilló a Jesús
37,II,17,Cuando Jesús detuvo un funeral
38,II,18,¿Sos vos el que había de venir?
39,II,19,Vengan a mí
40,II,20,La mujer que mucho amó
41,II,21,Las mujeres que caminaron con Jesús
42,II,22,Un Reino que no puede dividirse
43,II,23,Algo mayor que Jonás está aquí
44,II,24,La familia que nace al hacer su voluntad
45,II,25,Los secretos del Reino
46,III,1,¿Por qué tienen miedo?
47,III,2,El hombre que volvió a estar vestido
48,III,3,"Una hija, una mujer y dos milagros"
49,III,4,Cuando los ojos vuelven a ver
50,III,5,Demasiado conocido para ser recibido
51,III,6,Enviados con su autoridad
52,III,7,La voz que Herodes no pudo silenciar
53,III,8,Pan para una multitud
54,III,9,Soy yo; no tengan miedo
55,III,10,El Pan que da vida
56,III,11,Lo que realmente contamina al hombre
57,III,12,Una fe que no se fue con las manos vacías
58,III,13,Todo lo ha hecho bien
59,III,14,"Otra vez, pan para todos"
60,III,15,Cuando una señal no alcanza
61,III,16,Veo a los hombres como árboles
62,III,17,¿Quién dicen ustedes que soy?
63,III,18,Cuando vieron su gloria
64,III,19,Creo; ayudá mi incredulidad
65,III,20,El Hijo que entrega su vida
66,IV,1,¿Quién es el mayor?
67,IV,2,Ríos de agua viva
68,IV,3,El camino hacia Jerusalén
69,IV,4,Los setenta vuelven con gozo
70,IV,5,El prójimo que se detuvo en el camino
71,IV,6,Yo soy la puerta
72,IV,7,"Padre, enséñanos a orar"
73,IV,8,La luz que estaba delante de ellos
74,IV,9,"No teman, pequeño rebaño"
75,IV,10,Todavía hay tiempo para dar fruto
76,IV,11,Yo y el Padre uno somos
77,IV,12,El Reino empieza pequeño
78,IV,13,Todavía hay lugar en la mesa
79,IV,14,El camino de quien lo deja todo
80,IV,15,Hasta encontrar lo que estaba perdido
81,IV,16,Dos maneras de vivir para las riquezas
82,IV,17,Una fe pequeña en un Dios grande
83,IV,18,"Lázaro, ven fuera"
84,IV,19,Uno volvió para darle gracias
85,IV,20,Dos hombres subieron a orar
86,IV,21,Lo que Dios unió
87,IV,22,Dejen que los niños vengan a mí
88,IV,23,Una cosa te falta
89,IV,24,El Rey que vino para servir
90,IV,25,Jesús se detuvo en Jericó
91,IV,26,Hasta que Él vuelva
92,IV,27,Un perfume para Jesús
93,V,1,Bendito el Rey que viene
94,V,2,Mi casa será casa de oración
95,V,3,Queremos ver a Jesús
96,V,4,Cuando la higuera no tuvo fruto
97,V,5,La Piedra que desecharon
98,V,6,Amar a Dios con todo
99,V,7,El Rey frente a la religión
100,V,8,Todo lo que tenía
101,V,9,Cuando vean venir al Hijo del Hombre
102,V,10,La noche en que Judas decidió entregarlo
103,V,11,Los amó hasta el fin
104,V,12,Antes que cante el gallo
105,V,13,No se turbe su corazón
106,V,14,"Padre, que sean uno"
107,VI,1,"No se haga mi voluntad, sino la tuya"
108,VI,2,Cuando se entregó en sus manos
109,VI,3,El Cordero ante sus acusadores
110,VI,4,Treinta monedas y un final amargo
111,VI,5,Mi Reino no es de este mundo
112,VI,6,Consumado es
113,VI,7,El Rey en una tumba prestada
114,VI,8,¿Por qué buscan entre los muertos al que vive?
115,VI,9,Cuando intentaron ocultar la resurrección
116,VI,10,Ardía nuestro corazón
117,VI,11,Señor mío y Dios mío
118,VI,12,¿Me amás?
119,VI,13,Yo estoy con ustedes todos los días
120,VI,14,Hasta que fue llevado al cielo
